supplierId,supplierName,supplierEmail,supplierSharePrice
30787,Kenneth Jones,jcastillo@example.com,20.69
35970,Andrew Stewart,rodriguezgregory@example.org,3663.78
46837,Cheyenne Becker,nixonrenee@example.net,4326.32
30334,Connie Robinson,david69@example.net,8746.95
7457,Jimmy Donaldson,millerwyatt@example.com,5304.85
27594,Nicole Gomez,lorirosales@example.net,1229.22
12337,Laura Durham,pmorris@example.net,1702.05
16299,David Harmon,erinmorgan@example.org,3001.17
13899,Scott Kelly,jillpineda@example.net,610.23
33341,Alicia Wade,nicole91@example.net,9478.31
12408,Sarah Baker DDS,bradleymoran@example.com,8082.72
35879,Jennifer Mayo,luke09@example.com,1541.04
9405,Michelle Davis,scottaustin@example.net,6757.19
33183,Margaret Zavala,atkinsdaniel@example.net,7190.03
39135,Allen Davis,rebecca33@example.com,6904.69
5854,Kendra Carpenter,christophergomez@example.com,8531.33
12843,Carlos Faulkner,wcollins@example.org,6166.35
20661,Jose Buck Jr.,barbara42@example.com,4824.8
21801,Michael Davis,youngdavid@example.org,3305.6
39276,Cindy Bell,owiggins@example.com,4343.09
45545,Jonathan Alvarez,kskinner@example.org,6183.87
25811,Jeffrey Ortiz,kcabrera@example.com,7999.57
22664,Allison Serrano,billday@example.org,2949.1
49183,Chelsea Park,carlrobinson@example.org,3880.84
31758,Jeffrey Martin,hcooper@example.org,7098.03
4795,Anthony Long,lbullock@example.com,9644.91
2048,Mark Allen,lynchjill@example.com,7840.11
2622,Joe Trujillo,sanchezfrank@example.org,7876.41
2446,William Watson,jessica70@example.org,2972.55
34711,Antonio Ball,josephmeyer@example.org,3307.86
45888,Rachel Curry,scottvictoria@example.org,6157.38
43569,Glen Walker,mariajones@example.org,7730.92
29275,Carol White,latoyaspence@example.com,4001.98
45238,Lauren Nichols,cdavies@example.com,7707.01
32607,Lisa Prince,erin00@example.org,4898.43
42156,Karina Williams,veronicajohnson@example.net,4694.67
9725,Diana Gibbs,hintoncharles@example.org,3701.15
17835,Brandon Powell,zacharyhumphrey@example.org,2161.54
23360,Jennifer Thomas,katherinedennis@example.net,1432.83
12567,Joseph Brown,browncameron@example.com,972.79
16614,Ana Bradley,timothysmith@example.com,2452.92
45696,Karen Randolph,davidgonzalez@example.org,1607.21
5349,Jonathan Castaneda,megan56@example.com,352.61
11261,Kevin Lopez,gmcgee@example.net,7756.08
19599,Nicole Berger,eric66@example.org,6265.73
39518,Marcus Nunez,gsmith@example.net,3664.84
23076,Rachel Ellis,nrocha@example.com,7042.74
4126,Sara Reed,ymyers@example.com,1927.06
22156,Heidi Estrada,sierra67@example.org,8680.69
8556,Carl Jones,hillstephen@example.net,7391.08
10945,Paula Ruiz,amccann@example.org,2334.47
32007,Troy Delgado,brittanydavies@example.net,2215.68
1990,Joseph Moses,deanna35@example.com,5476.16
39568,Richard Levine,johnsonandrew@example.org,6879.18
20723,Dr. Daniel Lester MD,toddcohen@example.net,3576.55
16098,Mrs. Taylor Rhodes,emilybarry@example.net,883.94
17005,Maurice Boyle,montgomerycynthia@example.com,4928.37
36452,Charles Martin,taylordwayne@example.net,5907.63
33561,Eric Williams,joanneacevedo@example.net,9880.69
34847,Elizabeth Hawkins,uberry@example.org,3514.04
36589,John Jones,ymaynard@example.com,8374.01
24050,Michael Nash,wjohnson@example.org,1049.24
35254,Luke Robinson,uconway@example.com,5721.96
9749,Dale Hall,burtonthomas@example.org,6028.03
23377,James Taylor,areyes@example.com,157.72
34554,Thomas Dodson,michellecobb@example.net,4248.22
25177,James Evans,matthew81@example.com,4007.11
22175,Charles Powers,esmith@example.com,9721.1
16913,Jacob Branch,amyscott@example.com,6003.08
33540,Michael Rogers,thoward@example.com,3765.44
15489,Jesse James,scook@example.net,2161.01
49017,Brian Smith,crystalwheeler@example.com,8286.62
50414,Rachel Randall,millertimothy@example.com,9572.11
40080,Ms. Alexis Perez DDS,ydavis@example.com,3404.09
22522,Jose Poole,laura52@example.net,7546.51
9970,Kayla Faulkner,michael01@example.com,5416.6
49454,Krista Mitchell,andersonshaun@example.org,428.01
19392,James Gray,rgarcia@example.net,8034.5
24766,Hailey Greer,carolynpierce@example.org,8453.49
9844,Seth Santiago,schmidtmartha@example.org,1232.64
23233,Gary Walker,rickeywhite@example.org,2528.85
3972,Cynthia Mcintosh,wclark@example.com,7171.69
50810,Kyle Spencer,howard51@example.org,7393.63
49872,Kathy Hinton,markmoore@example.org,7513.2
1469,Deborah Robinson,duranclaire@example.net,80.77
48377,Marissa Valentine,emilyatkins@example.org,8239.38
49102,Joseph Taylor,monica99@example.com,7327.26
26274,Amber Miller,atkinsheather@example.org,4098.31
38642,Jennifer Dodson,christina66@example.net,3345.6
